user_id,product_identifier,frequency_type,inception_policy_id,adjustment_policy_id,change_number,transaction_type,effective_start_date,effective_end_date,ftp_start_date,ftp_valid_until,flex_policy_earned_hours,transaction_gwp,policy_total_gwp
15589,GB_delivery_flex_car,flex,183977,183977,0,Flex Policy,20/11/2017,20/11/2017,,,4,4.46,4.46
15992,GB_delivery_flex_scooter,flex,184410,184410,0,Flex Policy,22/11/2017,22/11/2017,,,10,4.46,4.46
14690,GB_delivery_flex_scooter,flex,184538,184538,0,Flex Policy,22/11/2017,22/11/2017,,,3,1.74,1.74
1163,GB_delivery_flex_scooter,flex,184825,184825,0,Flex Policy,22/11/2017,22/11/2017,,,3,2.01,2.01
14690,GB_delivery_flex_scooter,flex,184826,184826,0,Flex Policy,22/11/2017,22/11/2017,,,3,1.74,1.74
14690,GB_delivery_flex_scooter,flex,185655,185655,0,Flex Policy,23/11/2017,23/11/2017,,,4,2.32,2.32
9515,GB_delivery_flex_scooter,flex,185711,185711,0,Flex Policy,23/11/2017,23/11/2017,,,5,3.35,3.35
9515,GB_delivery_flex_scooter,flex,186909,186909,0,Flex Policy,24/11/2017,24/11/2017,,,5,3.35,3.35
14690,GB_delivery_flex_scooter,flex,189137,189137,0,Flex Policy,26/11/2017,26/11/2017,,,7,4.06,4.06
15992,GB_delivery_flex_scooter,flex,191043,191043,0,Flex Policy,28/11/2017,28/11/2017,,,12,4.46,4.46
14690,GB_delivery_flex_scooter,flex,191190,191190,0,Flex Policy,28/11/2017,28/11/2017,,,4,2.32,2.32
6269,GB_delivery_flex_scooter,flex,191493,191493,0,Flex Policy,28/11/2017,28/11/2017,,,4,2.68,2.68
15589,GB_delivery_flex_car,flex,192388,192388,0,Flex Policy,27/11/2017,27/11/2017,,,3.83,4.46,4.46
9515,GB_delivery_flex_scooter,flex,193349,193349,0,Flex Policy,30/11/2017,30/11/2017,,,4,2.68,2.68
15668,GB_delivery_flex_scooter,flex,193627,193627,0,Flex Policy,30/11/2017,30/11/2017,,,2,1.16,1.16
1163,GB_delivery_flex_scooter,flex,193630,193630,0,Flex Policy,30/11/2017,30/11/2017,,,2,1.34,1.34
6269,GB_delivery_flex_scooter,flex,194696,194696,0,Flex Policy,01/12/2017,01/12/2017,,,4,2.68,2.68
14690,GB_delivery_flex_scooter,flex,196739,196739,0,Flex Policy,03/12/2017,03/12/2017,,,3,1.74,1.74
14690,GB_delivery_flex_scooter,flex,197968,197968,0,Flex Policy,04/12/2017,04/12/2017,,,5,2.9,2.9
